Sequence accepted

Parse Tree (Father/Sibling Relations):
========================================

Index | Symbol | Type | Production | Father | Sibling | Lexeme | ST Location
  239 | add_tail | NTERM |         67 |    227 |      -1 | -      | -
  240 | relation_tail | NTERM |         61 |    226 |      -1 | -      | -
  241 | GT     | TERM |         -1 |    240 |     242 | >      | -
  242 | add    | NTERM |         64 |    240 |     253 | -      | -
  243 | mul    | NTERM |         68 |    242 |     252 | -      | -
  244 | unary  | NTERM |         75 |    243 |     251 | -      | -
  245 | power  | NTERM |         76 |    244 |      -1 | -      | -
  246 | primary | NTERM |         80 |    245 |     250 | -      | -
  247 | number | NTERM |        126 |    246 |     249 | -      | -
  248 | NUMBER | TERM |         -1 |    247 |      -1 | 50     | 6,1
  249 | primary_tail | NTERM |        103 |    246 |      -1 | -      | -
  250 | power_tail | NTERM |         78 |    245 |      -1 | -      | -
  251 | mul_tail | NTERM |         72 |    243 |      -1 | -      | -
  252 | add_tail | NTERM |         67 |    242 |      -1 | -      | -
  253 | relation_tail | NTERM |         63 |    240 |      -1 | -      | -
  254 | equality_tail | NTERM |         57 |    225 |      -1 | -      | -
  255 | logic_and_tail | NTERM |         53 |    224 |      -1 | -      | -
  256 | logic_or_tail | NTERM |         50 |    223 |      -1 | -      | -
  257 | pipe_expr_tail | NTERM |         31 |    222 |      -1 | -      | -
  258 | DO     | TERM |         -1 |    219 |     259 | do     | -
  259 | block  | NTERM |         20 |    219 |     346 | -      | -
  260 | NL     | TERM |         -1 |    259 |     261 | NL     | -
  261 | block  | NTERM |         21 |    259 |      -1 | -      | -
  262 | stmt   | NTERM |          6 |    261 |     342 | -      | -
  263 | set_stmt | NTERM |         13 |    262 |      -1 | -      | -
  264 | SET    | TERM |         -1 |    263 |     265 | set    | -
  265 | id     | NTERM |        114 |    263 |     267 | -      | -
  266 | IDENTIFIER | TERM |         -1 |    265 |      -1 | squares | 13,0
  267 | UPDATE | TERM |         -1 |    263 |     268 | =      | -
  268 | expr   | NTERM |         28 |    263 |      -1 | -      | -
  269 | pipe_expr | NTERM |         29 |    268 |      -1 | -      | -
  270 | logic_or | NTERM |         48 |    269 |     288 | -      | -
  271 | logic_and | NTERM |         51 |    270 |     287 | -      | -
  272 | equality | NTERM |         54 |    271 |     286 | -      | -
  273 | relation | NTERM |         58 |    272 |     285 | -      | -
  274 | add    | NTERM |         64 |    273 |     284 | -      | -
  275 | mul    | NTERM |         68 |    274 |     283 | -      | -
  276 | unary  | NTERM |         75 |    275 |     282 | -      | -
  277 | power  | NTERM |         76 |    276 |      -1 | -      | -
  278 | primary | NTERM |         86 |    277 |     281 | -      | -
  279 | IDENTIFIER | TERM |         -1 |    278 |     280 | squares | 13,0
  280 | primary_after_ident | NTERM |        100 |    278 |      -1 | -      | -
  281 | power_tail | NTERM |         78 |    277 |      -1 | -      | -
  282 | mul_tail | NTERM |         72 |    275 |      -1 | -      | -
  283 | add_tail | NTERM |         67 |    274 |      -1 | -      | -
  284 | relation_tail | NTERM |         63 |    273 |      -1 | -      | -
  285 | equality_tail | NTERM |         57 |    272 |      -1 | -      | -
  286 | logic_and_tail | NTERM |         53 |    271 |      -1 | -      | -
  287 | logic_or_tail | NTERM |         50 |    270 |      -1 | -      | -
  288 | pipe_expr_tail | NTERM |         30 |    269 |      -1 | -      | -
  289 | PIPELINE | TERM |         -1 |    288 |     290 | |>     | -
  290 | stage  | NTERM |         33 |    288 |     341 | -      | -
  291 | stage_keyword | NTERM |         40 |    290 |      -1 | -      | -
  292 | CONCAT | TERM |         -1 |    291 |     293 | concat | -
  293 | LPAREN | TERM |         -1 |    291 |     294 | (      | -
  294 | expr   | NTERM |         28 |    291 |     340 | -      | -
  295 | pipe_expr | NTERM |         29 |    294 |      -1 | -      | -
  296 | logic_or | NTERM |         48 |    295 |     339 | -      | -
  297 | logic_and | NTERM |         51 |    296 |     338 | -      | -
  298 | equality | NTERM |         54 |    297 |     337 | -      | -
  299 | relation | NTERM |         58 |    298 |     336 | -      | -
  300 | add    | NTERM |         64 |    299 |     335 | -      | -
  301 | mul    | NTERM |         68 |    300 |     334 | -      | -
  302 | unary  | NTERM |         75 |    301 |     333 | -      | -
  303 | power  | NTERM |         76 |    302 |      -1 | -      | -
  304 | primary | NTERM |         85 |    303 |     332 | -      | -
  305 | list_lit | NTERM |        109 |    304 |      -1 | -      | -
  306 | LBRACKET | TERM |         -1 |    305 |     307 | [      | -
  307 | expr_list_opt | NTERM |        110 |    305 |     331 | -      | -
  308 | expr   | NTERM |         28 |    307 |     330 | -      | -
  309 | pipe_expr | NTERM |         29 |    308 |      -1 | -      | -
  310 | logic_or | NTERM |         48 |    309 |     329 | -      | -
  311 | logic_and | NTERM |         51 |    310 |     328 | -      | -
  312 | equality | NTERM |         54 |    311 |     327 | -      | -
  313 | relation | NTERM |         58 |    312 |     326 | -      | -
  314 | add    | NTERM |         64 |    313 |     325 | -      | -
  315 | mul    | NTERM |         68 |    314 |     324 | -      | -
  316 | unary  | NTERM |         75 |    315 |     323 | -      | -
  317 | power  | NTERM |         76 |    316 |      -1 | -      | -
  318 | primary | NTERM |         80 |    317 |     322 | -      | -
  319 | number | NTERM |        126 |    318 |     321 | -      | -
  320 | NUMBER | TERM |         -1 |    319 |      -1 | 100    | 6,2
  321 | primary_tail | NTERM |        103 |    318 |      -1 | -      | -
  322 | power_tail | NTERM |         78 |    317 |      -1 | -      | -
  323 | mul_tail | NTERM |         72 |    315 |      -1 | -      | -
  324 | add_tail | NTERM |         67 |    314 |      -1 | -      | -
  325 | relation_tail | NTERM |         63 |    313 |      -1 | -      | -
  326 | equality_tail | NTERM |         57 |    312 |      -1 | -      | -
  327 | logic_and_tail | NTERM |         53 |    311 |      -1 | -      | -
  328 | logic_or_tail | NTERM |         50 |    310 |      -1 | -      | -
  329 | pipe_expr_tail | NTERM |         31 |    309 |      -1 | -      | -
  330 | expr_list_tail | NTERM |        113 |    307 |      -1 | -      | -
  331 | RBRACKET | TERM |         -1 |    305 |      -1 | ]      | -
  332 | power_tail | NTERM |         78 |    303 |      -1 | -      | -
  333 | mul_tail | NTERM |         72 |    301 |      -1 | -      | -
  334 | add_tail | NTERM |         67 |    300 |      -1 | -      | -
  335 | relation_tail | NTERM |         63 |    299 |      -1 | -      | -
  336 | equality_tail | NTERM |         57 |    298 |      -1 | -      | -
  337 | logic_and_tail | NTERM |         53 |    297 |      -1 | -      | -
  338 | logic_or_tail | NTERM |         50 |    296 |      -1 | -      | -
  339 | pipe_expr_tail | NTERM |         31 |    295 |      -1 | -      | -
  340 | RPAREN | TERM |         -1 |    291 |      -1 | )      | -
  341 | pipe_expr_tail | NTERM |         31 |    288 |      -1 | -      | -
  342 | block_tail | NTERM |         22 |    261 |      -1 | -      | -
  343 | NL     | TERM |         -1 |    342 |     344 | NL     | -
  344 | opt_stmt | NTERM |          4 |    342 |     345 | -      | -
  345 | block_tail | NTERM |         23 |    342 |      -1 | -      | -
  346 | otherwise_opt | NTERM |         15 |    219 |     436 | -      | -
  347 | OTHERWISE | TERM |         -1 |    346 |     348 | otherwise | -
  348 | DO     | TERM |         -1 |    346 |     349 | do     | -
  349 | block  | NTERM |         20 |    346 |      -1 | -      | -
  350 | NL     | TERM |         -1 |    349 |     351 | NL     | -
  351 | block  | NTERM |         21 |    349 |      -1 | -      | -
  352 | stmt   | NTERM |          6 |    351 |     432 | -      | -
  353 | set_stmt | NTERM |         13 |    352 |      -1 | -      | -
  354 | SET    | TERM |         -1 |    353 |     355 | set    | -
  355 | id     | NTERM |        114 |    353 |     357 | -      | -
  356 | IDENTIFIER | TERM |         -1 |    355 |      -1 | squares | 13,0
  357 | UPDATE | TERM |         -1 |    353 |     358 | =      | -
  358 | expr   | NTERM |         28 |    353 |      -1 | -      | -
  359 | pipe_expr | NTERM |         29 |    358 |      -1 | -      | -
  360 | logic_or | NTERM |         48 |    359 |     378 | -      | -
  361 | logic_and | NTERM |         51 |    360 |     377 | -      | -
  362 | equality | NTERM |         54 |    361 |     376 | -      | -
  363 | relation | NTERM |         58 |    362 |     375 | -      | -
  364 | add    | NTERM |         64 |    363 |     374 | -      | -
  365 | mul    | NTERM |         68 |    364 |     373 | -      | -
  366 | unary  | NTERM |         75 |    365 |     372 | -      | -
  367 | power  | NTERM |         76 |    366 |      -1 | -      | -
  368 | primary | NTERM |         86 |    367 |     371 | -      | -
  369 | IDENTIFIER | TERM |         -1 |    368 |     370 | squares | 13,0
  370 | primary_after_ident | NTERM |        100 |    368 |      -1 | -      | -
  371 | power_tail | NTERM |         78 |    367 |      -1 | -      | -
  372 | mul_tail | NTERM |         72 |    365 |      -1 | -      | -
  373 | add_tail | NTERM |         67 |    364 |      -1 | -      | -
  374 | relation_tail | NTERM |         63 |    363 |      -1 | -      | -
  375 | equality_tail | NTERM |         57 |    362 |      -1 | -      | -
  376 | logic_and_tail | NTERM |         53 |    361 |      -1 | -      | -
  377 | logic_or_tail | NTERM |         50 |    360 |      -1 | -      | -
  378 | pipe_expr_tail | NTERM |         30 |    359 |      -1 | -      | -
  379 | PIPELINE | TERM |         -1 |    378 |     380 | |>     | -
  380 | stage  | NTERM |         33 |    378 |     431 | -      | -
  381 | stage_keyword | NTERM |         40 |    380 |      -1 | -      | -
  382 | CONCAT | TERM |         -1 |    381 |     383 | concat | -
  383 | LPAREN | TERM |         -1 |    381 |     384 | (      | -
  384 | expr   | NTERM |         28 |    381 |     430 | -      | -
  385 | pipe_expr | NTERM |         29 |    384 |      -1 | -      | -
  386 | logic_or | NTERM |         48 |    385 |     429 | -      | -
  387 | logic_and | NTERM |         51 |    386 |     428 | -      | -
  388 | equality | NTERM |         54 |    387 |     427 | -      | -
  389 | relation | NTERM |         58 |    388 |     426 | -      | -
  390 | add    | NTERM |         64 |    389 |     425 | -      | -
  391 | mul    | NTERM |         68 |    390 |     424 | -      | -
  392 | unary  | NTERM |         75 |    391 |     423 | -      | -
  393 | power  | NTERM |         76 |    392 |      -1 | -      | -
  394 | primary | NTERM |         85 |    393 |     422 | -      | -
  395 | list_lit | NTERM |        109 |    394 |      -1 | -      | -
  396 | LBRACKET | TERM |         -1 |    395 |     397 | [      | -
  397 | expr_list_opt | NTERM |        110 |    395 |     421 | -      | -
  398 | expr   | NTERM |         28 |    397 |     420 | -      | -
  399 | pipe_expr | NTERM |         29 |    398 |      -1 | -      | -
  400 | logic_or | NTERM |         48 |    399 |     419 | -      | -
  401 | logic_and | NTERM |         51 |    400 |     418 | -      | -
  402 | equality | NTERM |         54 |    401 |     417 | -      | -
  403 | relation | NTERM |         58 |    402 |     416 | -      | -
  404 | add    | NTERM |         64 |    403 |     415 | -      | -
  405 | mul    | NTERM |         68 |    404 |     414 | -      | -
  406 | unary  | NTERM |         75 |    405 |     413 | -      | -
  407 | power  | NTERM |         76 |    406 |      -1 | -      | -
  408 | primary | NTERM |         80 |    407 |     412 | -      | -
  409 | number | NTERM |        126 |    408 |     411 | -      | -
  410 | NUMBER | TERM |         -1 |    409 |      -1 | 0      | 9,0
  411 | primary_tail | NTERM |        103 |    408 |      -1 | -      | -
